# Sample generated by Stan (Variational Bayes)
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=256
# chain_id=1
# iter=2000
# grad_samples=1
# elbo_samples=100
# output_samples=122
# eval_elbo=50
# eta=1
# tol_rel_obj=0.01
# algorithm=meanfield
# sample_file=/dss/dsshome1/04/di35van/Workspace/vi-midas/results/hyperparameter/50_5_nb_sample.csv
# diagnostic_file=/dss/dsshome1/04/di35van/Workspace/vi-midas/results/hyperparameter/50_5_nb_diag.csv
# append_samples=0
#
# iter,time_in_seconds,ELBO
50,52.8968,-1.32543e+06
100,105.736,-926227
150,158.56,-786479
200,211.345,-723374
250,264.13,-687133
300,316.919,-664021
350,369.709,-647804
400,422.52,-635876
450,475.268,-626198
500,528.008,-618638
550,580.807,-612306
600,633.59,-607021
650,686.382,-602277
